id,default_code,active,product_tmpl_id/id,barcode,combination_indices,volume,weight,base_unit_count,x_studio_item_approved_temp,x_studio_item_approved,x_studio_item_approval_request_sent,x_studio_item_approval_request_sent_temp
product_product_id_135608,33TR 15705,1,Jinasena_MasterData_Stock.product_template_end_columns_332535,33TR 15705,,0.0,0.0,0.0,,,,
product_product_id_135609,33TR 15706,1,Jinasena_MasterData_Stock.product_template_back_side_support,33TR 15706,,0.0,0.0,0.0,,,,
product_product_id_135610,33TR 15707,1,Jinasena_MasterData_Stock.product_template_front_side_support,33TR 15707,,0.0,0.0,0.0,,,,
product_product_id_135611,33TR 20101,1,Jinasena_MasterData_Stock.product_template_draw_bar_box_12hp,33TR 20101,,0.0,0.0,0.0,,,,
product_product_id_135612,33TR 20102,1,Jinasena_MasterData_Stock.product_template_draw_bar_12hp,33TR 20102,,0.0,0.0,0.0,,,,
product_product_id_135613,33TR 20103,1,Jinasena_MasterData_Stock.product_template_main_hitch_bush_12hp,33TR 20103,,0.0,0.0,0.0,,,,
product_product_id_135614,33TR 20104,1,Jinasena_MasterData_Stock.product_template_hitch_coupling_bush_12hp,33TR 20104,,0.0,0.0,0.0,,,,
product_product_id_135615,33TR 20105,1,Jinasena_MasterData_Stock.product_template_hitch_side_plate_332542,33TR 20105,,0.0,0.0,0.0,,,,
product_product_id_135616,33TR 20106,1,Jinasena_MasterData_Stock.product_template_lock_bush_12hp,33TR 20106,,0.0,0.0,0.0,,,,
product_product_id_135617,33TR 20107,1,Jinasena_MasterData_Stock.product_template_bottom_body_member_long_12hp,33TR 20107,,0.0,0.0,0.0,,,,
product_product_id_135618,33TR 20108,1,Jinasena_MasterData_Stock.product_template_bottom_body_membet_short_12hp,33TR 20108,,0.0,0.0,0.0,,,,
product_product_id_135619,33TR 20109,1,Jinasena_MasterData_Stock.product_template_front_floor_frame_side_member_12,33TR 20109,,0.0,0.0,0.0,,,,
product_product_id_135620,33TR 20110,1,Jinasena_MasterData_Stock.product_template_axel_box,33TR 20110,,0.0,0.0,0.0,,,,
product_product_id_135621,33TR 20111,1,Jinasena_MasterData_Stock.product_template_body_column_12hp,33TR 20111,,0.0,0.0,0.0,,,,
product_product_id_135622,33TR 20112,1,Jinasena_MasterData_Stock.product_template_supporting_column_12hp,33TR 20112,,0.0,0.0,0.0,,,,
product_product_id_135623,33TR 20113,1,Jinasena_MasterData_Stock.product_template_front_support_cross_member_12hp,33TR 20113,,0.0,0.0,0.0,,,,
product_product_id_135624,33TR 20114,1,Jinasena_MasterData_Stock.product_template_door_frame_long_member_12hp,33TR 20114,,0.0,0.0,0.0,,,,
product_product_id_135625,33TR 20115,1,Jinasena_MasterData_Stock.product_template_door_frame_short_member_12hp,33TR 20115,,0.0,0.0,0.0,,,,
product_product_id_135626,33TR 20116,1,Jinasena_MasterData_Stock.product_template_door_frame_support_member_12hp,33TR 20116,,0.0,0.0,0.0,,,,
